,country,gdp_per_capita,capital
171,Cambodia,"1,644",Phnom Penh
172,Zimbabwe,"1,464",Harare
173,Cameroon,"1,534",Yaoundé
174,Senegal,"1,452",Dakar
175,Venezuela,"4,733",Caracas
176,Myanmar,"1,421",
177,Comoros,"1,370",Moroni
178,Benin,"1,220",Porto-Novo
179,East Timor,"1,561",Dili
180,Pakistan,"1,187",Islamabad
181,Nepal,"1,074",Kathmandu
182,Lesotho,"1,158",Maseru
183,Guinea,967,Conakry
184,Kyrgyzstan,"1,318",Bishkek
185,Tanzania,"1,084",Dodoma
186,Togo,899,Lomé
187,Mali,887,Bamako
188,Zambia,"1,292",Lusaka
189,Uganda,737,Kampala
190,Ethiopia,828,Addis Ababa
191,Guinea-Bissau,688,Bissau
192,Burkina Faso,787,Ouagadougou
193,The Gambia,776,Banjul
194,Rwanda,820,Kigali
195,Tajikistan,894,Dushanbe
196,Sudan,815,Khartoum
197,Yemen,855,Sanaa
198,Chad,707,N'Djamena
199,Liberia,523,Monrovia
200,North Korea,640,Pyongyang
201,Niger,555,Niamey
202,Eritrea,567,Asmara
203,Afghanistan,470,Kabul
204,Democratic Republic of the Congo,545,Brazzaville
205,Central African Republic,468,Bangui
206,Sierra Leone,528,Freetown
207,Madagascar,523,Antananarivo
208,Malawi,435,Lilongwe
209,Mozambique,504,Maputo
210,Somalia,105,Mogadishu
211,South Sudan,448,Khartoum
212,Burundi,260,Bujumbura
